time	V(input)	V(nc_01)
6.292096875149492e-03	1.930445e-02	3.702138e+00
6.311628125149491e-03	1.851924e-02	3.747010e+00
6.331159375149491e-03	1.745548e-02	3.796749e+00
6.350690625149490e-03	1.612918e-02	3.850583e+00
6.370221875149490e-03	1.456027e-02	3.907685e+00
6.389753125149489e-03	1.277237e-02	3.967187e+00
6.409284375149489e-03	1.079236e-02	4.028193e+00
6.428815625149489e-03	8.650017e-03	4.089794e+00
6.448346875149488e-03	6.377573e-03	4.151080e+00
6.467878125149488e-03	4.009205e-03	4.211154e+00
6.487409375149487e-03	1.580535e-03	4.269145e+00
6.506940625149487e-03	-8.719083e-04	4.324219e+00
6.526471875149487e-03	-3.311237e-03	4.375589e+00
6.546003125149486e-03	-5.700761e-03	4.422526e+00
6.565534375149486e-03	-8.004542e-03	4.464363e+00
6.585065625149485e-03	-1.018793e-02	4.500508e+00
6.604596875149485e-03	-1.221807e-02	4.530445e+00
6.624128125149484e-03	-1.406445e-02	4.553744e+00
6.643659375149484e-03	-1.569929e-02	4.570062e+00
6.663190625149484e-03	-1.709799e-02	4.579149e+00
6.682721875149483e-03	-1.823952e-02	4.580853e+00
6.702253125149483e-03	-1.910672e-02	4.575119e+00
6.721784375149482e-03	-1.968653e-02	4.561998e+00
6.741315625149482e-03	-1.997023e-02	4.541641e+00
6.760846875149482e-03	-1.995357e-02	4.514309e+00
6.780378125149481e-03	-1.963679e-02	4.480364e+00
6.799909375149481e-03	-1.902465e-02	4.440272e+00
6.819440625149480e-03	-1.812636e-02	4.394600e+00
6.838971875149480e-03	-1.695543e-02	4.344007e+00
6.858503125149479e-03	-1.552948e-02	4.289233e+00
6.878034375149479e-03	-1.386995e-02	4.231100e+00
6.897565625149479e-03	-1.200181e-02	4.170485e+00
6.917096875149478e-03	-9.953145e-03	4.108318e+00
6.936628125149478e-03	-7.754776e-03	4.045559e+00
6.956159375149477e-03	-5.439769e-03	3.983184e+00
6.975690625149477e-03	-3.042942e-03	3.922168e+00
6.995221875149477e-03	-6.003467e-04	3.863468e+00
7.014753125149476e-03	1.851278e-03	3.808005e+00
7.034284375149476e-03	4.275059e-03	3.756652e+00
7.053815625149475e-03	6.634538e-03	3.710211e+00
7.073346875149475e-03	8.894227e-03	3.669409e+00
7.092878125149474e-03	1.102014e-02	3.634878e+00
7.112409375149474e-03	1.298030e-02	3.607151e+00
7.131940625149474e-03	1.474522e-02	3.586647e+00
7.151471875149473e-03	1.628836e-02	3.573672e+00
7.171003125149473e-03	1.758651e-02	3.568410e+00
7.190534375149472e-03	1.862014e-02	3.570922e+00
7.210065625149472e-03	1.937371e-02	3.581145e+00
7.229596875149472e-03	1.983588e-02	3.598898e+00
7.249128125149471e-03	1.999970e-02	3.623881e+00
7.268659375149471e-03	1.986270e-02	3.655684e+00
